"Hm0","THp","Tm01","Tm02","Tp","U10","wind_dir"
2.9,262.3,6,5.4,6.7,16,266.7
3.9,251.5,7.5,6.5,8,16,264.4
4.3,249.7,8.3,7.2,9.3,14.8,262
4.3,248.9,8.8,7.5,9.7,13,262.4
3.9,247.4,8.9,7.5,10,11.1,268.7
3.6,254.5,8.7,7.3,9.8,11.1,277
3.4,267.1,8.4,7,9.7,11.7,283
3.4,270.2,8.1,6.8,9.4,12.3,285.4
3.6,271.2,8.2,6.8,9.4,13.6,287
4,261.9,8.5,7,9.4,13.9,292.4
4.6,250.4,9.2,7.5,10.7,14.3,296.6
5.4,249.7,10.1,8.1,12.4,15.8,304.1
6.3,251,11.2,8.9,13.9,14.9,307
6.8,253.7,12.1,9.7,14.7,14.1,305.6
6.8,256.8,12.5,10.2,14.9,12.8,296.7
6.5,260.3,12.6,10.4,14.8,12.5,288.1
6.1,264.4,12.3,10.2,14.5,11.9,280.8
5.7,268.7,11.9,9.8,14,11.4,274.1
5.2,271.2,11.4,9.5,13.6,10.8,266.3
4.6,273.1,11.1,9.3,13.2,9.2,257.8
4.1,274.7,10.9,9.4,12.6,6.8,235.1
3.7,276.1,10.6,9.4,12.2,6.8,176.1
3.4,277.1,10.2,8.6,11.7,11.6,148.3
3.4,277.9,8.9,6.7,11.5,15.3,132.5
4,173.9,7.9,6.5,10.8,15.1,151.3
4.5,201.9,8.5,7.2,9.4,16.1,214
5,217,9.1,7.7,10.3,15.8,223.8
5.2,221.4,9.5,7.9,10.6,15.7,222.5
5.4,218.7,9.7,8,11,16.1,220.3
5.7,219.6,9.8,8.2,11.2,16.6,220.4
6,220.8,10,8.4,11.3,17.7,218.9
6.6,220.9,10.3,8.6,11.6,18.7,217.5
7.3,221.7,10.8,9.1,12.1,19.6,213.9
8.3,221.8,11.4,9.6,12.5,21.2,207.9
9.6,230.5,12.1,10.2,13.5,22.7,209.4
10.5,241.6,13,10.9,14.1,20.4,240.7
10.6,252.6,13.6,11.5,15.1,19.8,257.2
10.4,257.1,13.7,11.6,15.4,19.5,260.1
9.7,258.2,13.4,11.3,15.2,18.6,257.2
8.4,257.8,12.9,11,14.8,15.9,248
7.1,258.2,12.6,10.7,14.4,12,228.1
6.2,257.8,11.9,10,13.9,14,209.7
6.3,220.5,11,8.9,12.8,17.8,211.1
