"Wind Direction [deg]";"Wave Direction w.r.t. wind [deg]";"Wave Period [s]";"Significant Wave Height [m]";"Standard Deviation of Streamwise Wind [m/s]";"Wind Speed [m/s]"
8.7692116069398462e+00;1.1225938162103413e+00;1.4327079901413077e+01;2.9803120825841329e+00;9.1281208742588904e-01;4.9247175077326553e+00
3.4744327258493479e+00;1.8857425200089599e+00;1.2661679138981990e+01;4.3124897713375079e+00;2.0362090852283448e+00;1.2080393698323387e+01
-1.5264656917002184e-02;2.9281285176534833e-02;1.0632424612386924e+01;1.6396886929697958e+00;1.4971195548258962e+00;9.5641712065033282e+00
-2.1014644462132148e+00;1.1390977861732665e-01;9.2960734769531843e+00;1.0781413338374386e+00;1.4149031177322606e+00;8.4062570199284359e+00
3.8677669270960752e-01;4.3457242457108674e+00;1.3877002506415417e+01;4.6274731469061443e+00;1.8757960559653351e+00;1.3035545786129198e+01
2.1759976565018363e-01;4.6256726370624995e-01;1.2410641544389662e+01;1.2472086018296153e+00;1.2335799169468027e+00;6.6501844075318797e+00
2.5301913003486334e+00;1.5903169893741502e+00;1.3277983148318434e+01;1.2977486280145036e+00;1.7959276038021359e+00;1.0765610816685900e+01
4.0402817353539673e+00;3.9043125527329803e-01;9.4580338896382639e+00;3.4169417169886311e+00;1.4898531478252488e+00;9.5700104086147064e+00
-5.5984328472639411e-01;1.8343007282460890e+00;1.4778461368695032e+01;2.2450903918617628e+00;1.7616746005211936e+00;1.0057087436764844e+01
5.0999522345612391e-01;3.7154506482869882e+00;1.2476245698743114e+01;4.0553982562634205e+00;2.6113935586444779e+00;1.5262490505055325e+01
6.7724008118058592e+00;-8.3825237161534627e-01;1.3240911514754059e+01;2.2968940392785697e+00;7.7948187440416061e-01;6.5016559290793836e+00
-1.0199836843237076e+00;-1.3346652821049595e-01;1.1054907274821872e+01;3.1130546270807526e+00;2.0705304346216087e+00;1.3837709401382590e+01
1.5021737892077938e-01;3.5879678129049752e-01;4.1368199951610256e+00;1.0450547746689769e+00;1.1313958117089393e+00;7.3948542927658716e+00
-5.8697308710983997e-01;-7.8238152566526165e-02;1.0086209606057707e+01;1.2549175738378491e+00;1.3101691307647552e+00;1.0471225141130173e+01
-7.3706575130899499e-01;1.2378705975394139e-01;1.1679727520941038e+01;2.1223713861883886e+00;1.4432456541887142e+00;6.9616399301006133e+00
3.1289734103166089e+00;8.3598100525585264e-02;1.5695683617039229e+01;1.6152155383961970e+00;1.9871982692691357e+00;1.2014399129771144e+01
-5.9499621222887256e-01;1.3896020981288862e-01;6.9614103185635372e+00;5.2828298317543743e-01;6.8083567522242794e-01;3.0725656152249750e+00
3.4489969723168254e+00;2.0214931081690310e+00;1.1201259510454573e+01;4.2221543813050593e+00;2.2822997999722539e+00;1.7589054024559069e+01
3.8495484588177886e+00;1.9240261134296771e-01;1.1764826680683358e+01;1.7882333626793909e+00;1.1147415091406221e+00;6.1451643855568321e+00
